46,1,2,1,1,0,3,3,2,2,3,2,0,,,Edit Size,Total Example,Correct,%,,Patch Distance,Count,Percentage
623,2,2,2,25,25,2,1,3,2,2,3,1,,,,,,,,,,
636,2,2,2,1,11,11,10,1,2,2,2,1,,,,,,,,,,
705,2,2,2,3,1,2,3,3,2,3,2,1,,,,,,,,,,
748,2,2,12,2,2,12,13,3,1,3,1,1,,,,,,,,,,
772,2,1,1,5,4,2,2,2,3,2,3,1,,,,,,,,,,
777,2,3,4,4,5,4,4,5,4,5,1,1,,,,,,,,,,
835,2,1,2,2,1,2,2,2,2,1,2,1,,,,,,,,,,
883,2,2,2,1,3,3,2,2,2,4,2,1,,,,,,,,,,
915,2,2,2,1,3,1,3,1,2,2,3,1,,,,,,,,,,
91,3,2,1,1,3,1,3,3,3,3,3,1,,,,,,,,,,
112,3,1,4,1,4,4,4,4,2,2,2,1,,,,,,,,,,
307,3,1,4,2,5,1,5,5,2,2,4,1,,,,,,,,,,
514,3,3,2,4,3,3,1,3,4,1,2,1,,,,,,,,,,
528,3,3,3,3,2,2,2,1,3,3,3,1,,,,,,,,,,
597,3,2,2,3,2,3,3,2,3,1,2,1,,,,,,,,,,
599,3,3,3,2,5,2,5,2,1,4,3,1,,,,,,,,,,
712,3,2,8,9,1,8,8,2,2,2,8,1,,,,,,,,,,
716,3,7,1,7,7,7,7,7,7,7,7,1,,,,,,,,,,
717,3,1,1,1,2,6,2,2,6,2,2,1,,,,,,,,,,
736,3,1,1,2,2,2,2,2,2,2,2,1,,,,,,,,,,
789,3,3,1,4,2,2,4,1,4,3,2,1,,,,,,,,,,
878,3,1,1,2,1,1,1,2,2,2,1,1,,,,,,,,,,
893,3,2,1,3,4,2,5,3,1,2,2,1,,,,,,,,,,
1052,3,1,1,1,2,1,2,2,2,15,2,1,,,,,,,,,,
176,4,1,2,2,3,2,1,2,2,2,2,1,,,,,,,,,,
469,4,1,2,2,3,2,2,3,3,2,3,1,,,,,,,,,,
583,4,5,1,1,1,1,1,2,2,2,4,1,,,,,,,,,,
110,5,1,2,10,11,2,3,11,11,12,10,1,,,,,,,,,,
152,5,4,2,2,2,1,2,2,2,2,1,1,,,,,,,,,,
638,5,2,2,2,1,2,2,5,2,2,2,1,,,,,,,,,,
775,5,28,2,3,2,4,4,1,3,2,27,1,,,,,,,,,,
888,5,2,6,3,3,7,3,1,3,7,5,1,,,,,,,,,,
1,6,1,1,1,1,3,2,3,2,1,2,1,,,,,,,,,,
972,6,2,1,3,2,3,2,3,2,2,1,1,,,,,,,,,,
30,7,7,1,2,3,3,8,8,2,8,2,1,,,,,,,,,,
220,7,2,1,2,1,3,2,3,3,1,2,1,,,,,,,,,,
234,7,1,2,1,1,1,2,2,2,2,3,1,,,,,,,,,,
809,7,1,1,2,2,1,2,2,2,1,2,1,,,,,,,,,,
867,7,2,2,2,1,2,2,2,1,2,2,1,,,,,,,,,,
93,8,1,3,2,2,4,3,2,1,3,4,1,,,,,,,,,,
678,8,2,2,1,1,3,3,1,2,2,3,1,,,,,,,,,,
882,8,1,1,8,2,8,2,2,2,1,8,1,,,,,,,,,,
950,8,9,9,2,2,2,1,2,2,9,8,1,,,,,,,,,,
147,9,2,1,1,2,2,2,1,2,2,2,1,,,,,,,,,,
475,9,2,3,2,3,2,3,2,2,1,3,1,,,,,,,,,,
681,9,1,2,2,11,8,10,10,9,10,1,1,,,,,,,,,,
349,10,2,3,3,3,3,2,1,2,4,4,1,,,,,,,,,,
467,12,12,1,2,13,2,1,13,2,2,13,1,,,,,,,,,,
578,13,5,5,3,3,3,4,2,3,1,2,1,,,,,,,,,,
1000,14,2,3,1,2,3,3,2,2,3,2,1,,,,,,,,,,
680,15,5,1,6,2,6,2,6,2,2,2,1,,,,,,,,,,
149,16,1,2,2,2,2,2,1,2,2,2,1,,,,,,,,,,
992,19,2,1,2,1,3,2,2,3,3,2,1,,,,,,,,,,
942,21,1,2,6,6,1,2,5,5,3,1,1,,,,,,,,,,
180,23,2,1,2,3,3,3,1,3,3,3,1,,,,,,,,,,
72,27,2,5,1,2,4,3,5,3,3,4,1,,,,,,,,,,
667,33,2,1,3,2,2,3,3,2,2,3,1,,,,,,,,,,
978,34,1,2,3,2,3,3,2,2,2,3,1,,,,,,,,,,
16,1,4,4,3,4,2,3,3,4,3,2,2,,,,,,,,,,
185,1,3,4,4,2,4,4,3,5,4,4,2,,,,,,,,,,
189,1,2,3,3,3,3,4,3,3,3,4,2,,,,,,,,,,
200,1,4,4,4,4,2,4,4,4,3,3,2,,,,,,,,,,
221,1,3,3,3,3,4,5,4,5,2,5,2,,,,,,,,,,
269,1,4,3,3,2,4,3,3,2,5,4,2,,,,,,,,,,
383,1,3,7,2,4,6,4,3,3,2,2,2,,,,,,,,,,
440,1,2,3,3,3,3,3,2,3,3,2,2,,,,,,,,,,
508,1,11,3,4,2,5,12,12,11,3,4,2,,,,,,,,,,
574,1,4,4,3,3,4,5,3,4,5,2,2,,,,,,,,,,
624,1,3,2,3,4,2,3,4,4,3,3,2,,,,,,,,,,
656,1,4,3,3,2,4,3,4,4,4,3,2,,,,,,,,,,
679,1,2,3,3,3,3,3,3,4,2,3,2,,,,,,,,,,
727,1,3,2,3,3,4,2,4,4,3,3,2,,,,,,,,,,
797,1,3,4,2,3,4,3,3,3,2,3,2,,,,,,,,,,
823,1,3,6,5,2,7,2,4,3,5,3,2,,,,,,,,,,
828,1,4,4,3,4,3,3,3,4,2,3,2,,,,,,,,,,
843,1,2,3,2,3,2,3,3,3,3,3,2,,,,,,,,,,
872,1,11,12,12,11,12,12,2,2,12,10,2,,,,,,,,,,
891,1,2,3,3,10,10,4,10,3,3,3,2,,,,,,,,,,
928,1,3,2,3,3,3,2,2,2,4,3,2,,,,,,,,,,
1008,1,3,4,2,3,4,4,3,4,4,5,2,,,,,,,,,,
1046,1,2,2,2,3,3,3,2,3,3,3,2,,,,,,,,,,
51,2,3,2,4,4,3,4,3,3,4,4,2,,,,,,,,,,
61,2,2,2,2,2,2,3,3,2,2,2,2,,,,,,,,,,
137,2,33,32,3,34,2,3,34,2,2,3,2,,,,,,,,,,
153,2,6,2,2,2,2,2,2,2,2,5,2,,,,,,,,,,
242,2,2,2,3,3,5,3,3,3,3,3,2,,,,,,,,,,
247,2,4,3,4,3,3,3,3,2,5,4,2,,,,,,,,,,
266,2,6,6,6,2,5,6,5,3,3,3,2,,,,,,,,,,
400,2,2,9,3,3,3,10,10,3,3,3,2,,,,,,,,,,
412,2,2,2,3,3,2,3,2,3,4,3,2,,,,,,,,,,
414,2,2,18,3,3,19,3,19,3,3,3,2,,,,,,,,,,
435,2,4,2,3,3,4,4,4,3,4,3,2,,,,,,,,,,
460,2,2,4,4,3,4,4,3,4,4,4,2,,,,,,,,,,
463,2,3,4,4,2,3,3,4,4,4,5,2,,,,,,,,,,
501,2,3,3,8,8,9,9,7,8,2,3,2,,,,,,,,,,
547,2,3,4,3,2,4,8,9,2,2,3,2,,,,,,,,,,
553,2,2,2,3,3,3,3,3,3,4,3,2,,,,,,,,,,
591,2,3,5,2,4,3,4,4,4,4,4,2,,,,,,,,,,
613,2,3,4,4,4,4,2,4,4,11,5,2,,,,,,,,,,
618,2,6,6,3,6,3,3,5,3,2,6,2,,,,,,,,,,
657,2,3,2,3,4,4,4,3,3,3,4,2,,,,,,,,,,
786,2,2,5,3,3,6,6,6,3,3,6,2,,,,,,,,,,
810,2,3,4,2,3,4,5,4,5,4,5,2,,,,,,,,,,
816,2,3,4,2,2,3,4,3,4,3,5,2,,,,,,,,,,
831,2,4,3,3,4,2,2,2,3,3,3,2,,,,,,,,,,
898,2,3,8,4,4,2,7,4,3,5,3,2,,,,,,,,,,
1003,2,4,2,2,2,2,2,3,5,3,3,2,,,,,,,,,,
1012,2,6,6,2,7,7,7,7,3,7,7,2,,,,,,,,,,
1029,2,3,4,4,5,2,3,3,4,4,5,2,,,,,,,,,,
101,3,3,4,2,2,4,4,3,3,3,3,2,,,,,,,,,,
179,3,3,4,3,4,2,3,2,3,2,4,2,,,,,,,,,,
334,3,2,8,8,8,3,3,3,8,3,4,2,,,,,,,,,,
647,3,9,8,3,3,9,9,2,8,2,9,2,,,,,,,,,,
826,3,2,3,3,4,2,3,3,3,4,3,2,,,,,,,,,,
98,4,4,5,4,5,4,3,4,3,3,2,2,,,,,,,,,,
302,4,3,3,2,2,2,4,3,4,4,4,2,,,,,,,,,,
387,4,3,3,6,6,3,3,4,4,4,2,2,,,,,,,,,,
1051,4,2,3,3,4,3,4,3,3,4,4,2,,,,,,,,,,
236,5,4,3,3,2,4,3,5,5,4,4,2,,,,,,,,,,
317,5,4,2,5,5,5,3,3,4,4,4,2,,,,,,,,,,
336,5,3,2,6,6,4,3,4,4,3,3,2,,,,,,,,,,
511,5,2,3,5,4,4,5,4,5,6,2,2,,,,,,,,,,
529,5,2,2,8,6,7,7,8,8,2,7,2,,,,,,,,,,
756,5,12,2,12,2,2,2,2,12,2,13,2,,,,,,,,,,
806,5,2,5,4,4,6,5,4,5,3,3,2,,,,,,,,,,
21,6,3,2,4,4,3,3,3,5,4,2,2,,,,,,,,,,
328,6,3,3,4,4,4,2,4,4,3,5,2,,,,,,,,,,
742,6,3,3,2,4,2,14,4,4,4,3,2,,,,,,,,,,
965,6,6,3,2,6,7,7,7,7,7,6,2,,,,,,,,,,
359,7,3,2,3,2,3,3,2,3,3,3,2,,,,,,,,,,
913,8,4,3,5,5,3,5,4,4,2,6,2,,,,,,,,,,
699,9,11,2,2,10,2,2,11,2,2,11,2,,,,,,,,,,
1006,9,20,20,20,19,3,2,19,3,2,3,2,,,,,,,,,,
1026,9,3,2,2,11,3,12,2,11,2,12,2,,,,,,,,,,
369,10,2,8,9,9,9,9,9,9,9,2,2,,,,,,,,,,
203,12,3,4,3,6,6,6,5,3,3,2,2,,,,,,,,,,
552,12,3,15,4,4,2,3,4,4,14,4,2,,,,,,,,,,
47,13,2,15,14,14,15,15,15,15,15,2,2,,,,,,,,,,
959,13,3,2,4,7,3,5,3,3,3,3,2,,,,,,,,,,
1020,13,2,14,14,14,14,3,14,14,15,15,2,,,,,,,,,,
989,16,11,11,3,4,3,11,10,2,3,12,2,,,,,,,,,,
1048,30,3,3,4,3,4,4,4,2,4,2,2,,,,,,,,,,
37,1,10,9,11,10,3,4,10,9,9,8,3,,,,,,,,,,
63,1,4,4,5,5,5,5,5,3,4,5,3,,,,,,,,,,
